order_id,order_date,product_name,category,unit_price,quantity,discount_pct,total_amount,region,country,sales_rep,channel,status
ORD-0047,2024-02-29,Mechanical Keyboard,Office,142.68,7,10,898.88,North Africa,Tunisia,Grace Nakato,Retail,Completed
ORD-0048,2024-12-09,Wireless Headphones,Electronics,92.76,9,20,667.87,Southern Africa,South Africa,David Okonkwo,Wholesale,Returned
ORD-0049,2024-06-02,Bluetooth Speaker,Electronics,64.62,6,15,329.56,North Africa,Libya,Lilian Osei,Wholesale,Returned
ORD-0050,2024-12-06,Laptop Stand,Office,39.14,9,0,352.26,Southern Africa,Zambia,Grace Nakato,Retail,Pending
ORD-0051,2024-05-26,Notebook Set,Stationery,14.24,9,20,102.53,North Africa,Algeria,David Okonkwo,Direct Sales,Pending
ORD-0052,2024-09-18,Notebook Set,Stationery,15.76,8,5,119.78,North Africa,Algeria,Ibrahim Traore,Retail,Completed
ORD-0053,2024-04-30,USB-C Hub,Electronics,53.63,6,0,321.78,Central Africa,Angola,Aisha Kamara,Retail,Completed
ORD-0054,2024-02-07,Smart Watch,Electronics,208.33,4,5,791.65,East Africa,Uganda,Ibrahim Traore,Direct Sales,Pending
ORD-0055,2024-12-18,Phone Case,Accessories,19.43,7,0,136.01,Southern Africa,Mozambique,Amara Diallo,Online,Returned
ORD-0056,2024-03-03,Phone Case,Accessories,20.66,8,0,165.28,West Africa,Cameroon,Ibrahim Traore,Retail,Returned
ORD-0057,2024-08-14,Pen Pack,Stationery,10.91,10,0,109.1,Central Africa,Angola,Patrick Nkosi,Direct Sales,Pending
ORD-0058,2024-11-22,Webcam HD,Electronics,85.01,8,0,680.08,West Africa,Ivory Coast,Aisha Kamara,Direct Sales,Completed
ORD-0059,2024-06-12,USB-C Hub,Electronics,49.53,5,0,247.65,Southern Africa,South Africa,Lilian Osei,Online,Completed
ORD-0060,2024-07-31,Smart Watch,Electronics,196.41,3,15,500.85,West Africa,Ivory Coast,Grace Nakato,Wholesale,Pending
ORD-0061,2024-10-26,Webcam HD,Electronics,81.03,4,20,259.3,Southern Africa,South Africa,Amara Diallo,Direct Sales,Returned
ORD-0062,2024-08-02,Wireless Headphones,Electronics,97.53,7,20,546.17,North Africa,Tunisia,Lilian Osei,Retail,Returned
ORD-0063,2024-12-08,Phone Case,Accessories,20.16,8,0,161.28,North Africa,Algeria,Grace Nakato,Retail,Returned
ORD-0064,2024-10-30,Cable Organizer,Accessories,19.54,9,0,175.86,West Africa,Cameroon,Patrick Nkosi,Online,Completed
ORD-0065,2024-07-13,Pen Pack,Stationery,9.57,8,0,76.56,Southern Africa,Zimbabwe,Samuel Mwangi,Retail,Returned
ORD-0066,2024-08-03,Laptop Stand,Office,43.7,5,20,174.8,North Africa,Algeria,Aisha Kamara,Online,Returned
ORD-0067,2024-11-29,Wireless Headphones,Electronics,94.27,6,0,565.62,Central Africa,DRC,Amara Diallo,Online,Completed
ORD-0068,2024-12-08,Phone Case,Accessories,19.37,3,0,58.11,East Africa,Ethiopia,Kwame Mensah,Retail,Returned
ORD-0069,2024-02-28,Mouse Pad XL,Office,26.02,3,10,70.25,North Africa,Tunisia,Fatima Hassan,Wholesale,Completed
ORD-0070,2024-07-11,Notebook Set,Stationery,16.28,10,15,138.38,East Africa,Tanzania,Grace Nakato,Retail,Completed
ORD-0071,2024-03-02,Notebook Set,Stationery,15.78,5,20,63.12,West Africa,Nigeria,Patrick Nkosi,Online,Completed
ORD-0072,2024-01-07,Desk Lamp,Office,36.64,2,10,65.95,Southern Africa,Zambia,Grace Nakato,Direct Sales,Completed
ORD-0073,2024-09-24,Mechanical Keyboard,Office,126.92,3,5,361.72,North Africa,Algeria,Aisha Kamara,Direct Sales,Returned
ORD-0074,2024-02-14,Mechanical Keyboard,Office,128.28,6,20,615.74,Central Africa,Gabon,Aisha Kamara,Direct Sales,Completed
ORD-0075,2024-01-15,Portable Charger,Electronics,45.3,10,15,385.05,Southern Africa,Botswana,Ibrahim Traore,Wholesale,Completed
ORD-0076,2024-11-01,Webcam HD,Electronics,79.35,5,0,396.75,West Africa,Senegal,Aisha Kamara,Online,Pending
ORD-0077,2024-05-03,Phone Case,Accessories,20.66,7,5,137.39,East Africa,Kenya,Ibrahim Traore,Direct Sales,Returned
ORD-0078,2024-05-04,Portable Charger,Electronics,45.47,5,0,227.35,East Africa,Uganda,Aisha Kamara,Wholesale,Returned
ORD-0079,2024-06-29,Desk Lamp,Office,36.13,7,15,214.97,Central Africa,Gabon,Ibrahim Traore,Wholesale,Completed
ORD-0080,2024-10-01,USB-C Hub,Electronics,48.39,4,0,193.56,West Africa,Nigeria,Fatima Hassan,Retail,Completed
ORD-0081,2024-05-24,Mouse Pad XL,Office,25.71,10,20,205.68,Southern Africa,Zambia,Kwame Mensah,Retail,Completed
ORD-0082,2024-03-05,Phone Case,Accessories,21.11,5,0,105.55,North Africa,Morocco,Aisha Kamara,Online,Completed
ORD-0083,2024-10-20,Desk Lamp,Office,37.82,8,0,302.56,North Africa,Morocco,Aisha Kamara,Direct Sales,Returned
ORD-0084,2024-09-01,Webcam HD,Electronics,87.28,1,0,87.28,North Africa,Morocco,Kwame Mensah,Online,Returned
ORD-0085,2024-10-15,Webcam HD,Electronics,77.78,1,0,77.78,East Africa,Ethiopia,Aisha Kamara,Online,Completed
ORD-0086,2024-04-25,Bluetooth Speaker,Electronics,64.11,10,10,576.99,Central Africa,Chad,Lilian Osei,Direct Sales,Returned
ORD-0087,2024-11-13,Cable Organizer,Accessories,17.91,10,5,170.14,Southern Africa,Zambia,Amara Diallo,Online,Completed
ORD-0088,2024-10-09,Pen Pack,Stationery,9.85,2,0,19.7,West Africa,Senegal,Kwame Mensah,Retail,Completed
ORD-0089,2024-05-27,Mechanical Keyboard,Office,124.13,8,0,993.04,Southern Africa,Botswana,Aisha Kamara,Direct Sales,Completed
ORD-0090,2024-04-11,Pen Pack,Stationery,10.7,10,15,90.95,West Africa,Senegal,Grace Nakato,Online,Pending
ORD-0091,2024-06-06,Phone Case,Accessories,19.17,3,0,57.51,West Africa,Senegal,Patrick Nkosi,Wholesale,Returned
ORD-0092,2024-09-09,Bluetooth Speaker,Electronics,61.49,7,0,430.43,Southern Africa,Zambia,Ibrahim Traore,Online,Pending
ORD-0093,2024-04-27,Wireless Headphones,Electronics,85.84,10,0,858.4,Southern Africa,Zambia,Patrick Nkosi,Online,Completed
ORD-0094,2024-05-22,Notebook Set,Stationery,15.71,8,10,113.11,East Africa,Kenya,Fatima Hassan,Direct Sales,Returned
ORD-0095,2024-02-23,Bluetooth Speaker,Electronics,59.88,7,0,419.16,Southern Africa,Zambia,Fatima Hassan,Wholesale,Returned
ORD-0096,2024-01-19,Mouse Pad XL,Office,26.59,7,20,148.9,Southern Africa,Zambia,Ibrahim Traore,Online,Completed
ORD-0097,2024-01-01,USB-C Hub,Electronics,51.35,7,20,287.56,North Africa,Egypt,Lilian Osei,Direct Sales,Returned
ORD-0098,2024-11-16,Wireless Headphones,Electronics,95.7,6,10,516.78,West Africa,Cameroon,Ibrahim Traore,Online,Completed
ORD-0099,2024-09-05,USB-C Hub,Electronics,54.1,5,5,256.97,Central Africa,Congo,Kwame Mensah,Online,Pending
ORD-0100,2024-07-27,Portable Charger,Electronics,42.83,5,10,192.73,West Africa,Ghana,Kwame Mensah,Retail,Completed
ORD-0101,2024-12-27,Webcam HD,Electronics,79.49,8,15,540.53,East Africa,Kenya,Aisha Kamara,Direct Sales,Returned
ORD-0102,2024-11-02,Webcam HD,Electronics,80.59,9,0,725.31,West Africa,Ivory Coast,Lilian Osei,Retail,Completed
ORD-0103,2024-05-24,USB-C Hub,Electronics,53.64,9,0,482.76,Southern Africa,Zambia,Aisha Kamara,Direct Sales,Completed
ORD-0104,2024-10-05,Webcam HD,Electronics,82.61,6,0,495.66,Central Africa,Chad,Grace Nakato,Direct Sales,Completed
ORD-0105,2024-07-29,Screen Cleaner Kit,Accessories,12.8,10,5,121.6,West Africa,Ghana,Amara Diallo,Wholesale,Returned
ORD-0106,2024-03-05,Mouse Pad XL,Office,27.36,3,5,77.98,Southern Africa,Mozambique,Lilian Osei,Wholesale,Completed
ORD-0107,2024-03-14,Screen Cleaner Kit,Accessories,12.37,9,5,105.76,Southern Africa,South Africa,Grace Nakato,Retail,Completed
ORD-0108,2024-02-11,Webcam HD,Electronics,80.76,10,15,686.46,North Africa,Tunisia,Samuel Mwangi,Direct Sales,Completed
ORD-0109,2024-11-19,Pen Pack,Stationery,9.59,1,10,8.63,Southern Africa,Botswana,Aisha Kamara,Retail,Completed
ORD-0110,2024-01-15,Mechanical Keyboard,Office,137.02,8,0,1096.16,East Africa,Uganda,Amara Diallo,Wholesale,Completed
ORD-0111,2024-07-29,USB-C Hub,Electronics,49.32,7,0,345.24,North Africa,Tunisia,Patrick Nkosi,Retail,Completed
ORD-0112,2024-09-11,Smart Watch,Electronics,210.48,7,10,1326.02,East Africa,Ethiopia,Patrick Nkosi,Retail,Completed
ORD-0113,2024-08-26,Webcam HD,Electronics,76.1,5,15,323.43,North Africa,Algeria,Aisha Kamara,Retail,Completed
ORD-0114,2024-12-19,Webcam HD,Electronics,87.53,5,15,372.0,North Africa,Libya,Aisha Kamara,Direct Sales,Completed
ORD-0115,2024-07-02,Phone Case,Accessories,20.13,2,0,40.26,Southern Africa,Mozambique,Patrick Nkosi,Wholesale,Completed
ORD-0116,2024-01-26,Wireless Headphones,Electronics,97.17,1,10,87.45,Southern Africa,Zambia,Patrick Nkosi,Direct Sales,Completed
ORD-0117,2024-11-13,Portable Charger,Electronics,47.04,6,0,282.24,West Africa,Cameroon,Aisha Kamara,Retail,Completed
ORD-0118,2024-03-08,Cable Organizer,Accessories,18.65,8,0,149.2,East Africa,Tanzania,Kwame Mensah,Wholesale,Completed
ORD-0119,2024-07-06,Mouse Pad XL,Office,26.69,4,0,106.76,Southern Africa,Zimbabwe,Lilian Osei,Wholesale,Completed
ORD-0120,2024-02-08,USB-C Hub,Electronics,48.35,6,20,232.08,Southern Africa,Zambia,Fatima Hassan,Retail,Returned
ORD-0121,2024-05-15,Screen Cleaner Kit,Accessories,13.11,2,20,20.98,Central Africa,Gabon,Lilian Osei,Online,Returned
ORD-0122,2024-07-09,Laptop Stand,Office,41.82,7,20,234.19,North Africa,Libya,Kwame Mensah,Retail,Returned
ORD-0123,2024-02-02,Wireless Headphones,Electronics,88.48,6,10,477.79,Central Africa,Angola,Ibrahim Traore,Wholesale,Returned
ORD-0124,2024-02-29,Bluetooth Speaker,Electronics,65.95,1,0,65.95,West Africa,Nigeria,Kwame Mensah,Retail,Pending
ORD-0125,2024-12-22,Smart Watch,Electronics,218.47,6,15,1114.2,Southern Africa,Mozambique,Lilian Osei,Direct Sales,Pending
ORD-0126,2024-07-27,Mouse Pad XL,Office,25.57,2,20,40.91,West Africa,Ivory Coast,Aisha Kamara,Online,Completed
ORD-0127,2024-12-17,Phone Case,Accessories,20.08,4,20,64.26,Southern Africa,Mozambique,Samuel Mwangi,Wholesale,Completed
ORD-0128,2024-02-16,Mechanical Keyboard,Office,139.56,2,20,223.3,North Africa,Morocco,David Okonkwo,Online,Completed
ORD-0129,2024-02-05,Portable Charger,Electronics,46.55,3,20,111.72,North Africa,Morocco,Lilian Osei,Retail,Pending
ORD-0130,2024-01-02,Phone Case,Accessories,21.69,3,20,52.06,West Africa,Senegal,Aisha Kamara,Retail,Completed
ORD-0131,2024-03-08,Desk Lamp,Office,37.79,2,15,64.24,North Africa,Morocco,Amara Diallo,Wholesale,Completed
ORD-0132,2024-08-03,Notebook Set,Stationery,14.36,3,0,43.08,North Africa,Egypt,Lilian Osei,Online,Completed
ORD-0133,2024-09-14,Webcam HD,Electronics,77.3,9,10,626.13,Southern Africa,Zambia,David Okonkwo,Online,Pending
ORD-0134,2024-08-06,USB-C Hub,Electronics,53.84,1,5,51.15,Southern Africa,South Africa,Kwame Mensah,Direct Sales,Returned
ORD-0135,2024-05-20,Bluetooth Speaker,Electronics,57.58,10,0,575.8,East Africa,Tanzania,Patrick Nkosi,Wholesale,Returned
ORD-0136,2024-02-20,Notebook Set,Stationery,15.6,8,10,112.32,Central Africa,Gabon,Kwame Mensah,Retail,Returned
ORD-0137,2024-07-31,Webcam HD,Electronics,81.43,6,20,390.86,West Africa,Ivory Coast,Kwame Mensah,Wholesale,Returned
ORD-0138,2024-02-04,Laptop Stand,Office,43.53,3,15,111.0,North Africa,Tunisia,Kwame Mensah,Online,Completed
ORD-0139,2024-10-14,Mechanical Keyboard,Office,124.66,3,10,336.58,East Africa,Tanzania,Lilian Osei,Wholesale,Completed
ORD-0140,2024-06-29,Mechanical Keyboard,Office,135.2,1,0,135.2,North Africa,Algeria,Kwame Mensah,Retail,Completed
ORD-0141,2024-07-07,Pen Pack,Stationery,10.76,2,0,21.52,Southern Africa,Zimbabwe,Kwame Mensah,Wholesale,Pending
ORD-0142,2024-10-12,Phone Case,Accessories,21.01,10,10,189.09,Southern Africa,Botswana,Amara Diallo,Wholesale,Completed
ORD-0143,2024-03-14,Smart Watch,Electronics,190.17,6,0,1141.02,North Africa,Tunisia,Patrick Nkosi,Direct Sales,Completed
ORD-0144,2024-08-20,Smart Watch,Electronics,201.28,9,0,1811.52,East Africa,Uganda,Samuel Mwangi,Retail,Completed
ORD-0145,2024-03-20,USB-C Hub,Electronics,54.11,10,0,541.1,North Africa,Libya,Fatima Hassan,Online,Completed
ORD-0146,2024-05-19,USB-C Hub,Electronics,50.81,8,10,365.83,Southern Africa,Mozambique,David Okonkwo,Online,Completed
ORD-0147,2024-06-06,Mechanical Keyboard,Office,133.76,10,5,1270.72,East Africa,Tanzania,Amara Diallo,Retail,Returned
ORD-0148,2024-03-11,Notebook Set,Stationery,16.37,4,0,65.48,East Africa,Uganda,Aisha Kamara,Wholesale,Completed
ORD-0149,2024-09-29,Bluetooth Speaker,Electronics,58.15,7,0,407.05,East Africa,Rwanda,David Okonkwo,Wholesale,Completed
ORD-0150,2024-06-09,Mechanical Keyboard,Office,141.45,1,5,134.38,East Africa,Rwanda,Patrick Nkosi,Direct Sales,Pending
ORD-0151,2024-06-15,Mechanical Keyboard,Office,123.9,2,5,235.41,Southern Africa,Zambia,Fatima Hassan,Direct Sales,Completed
ORD-0152,2024-09-25,Bluetooth Speaker,Electronics,62.29,4,5,236.7,Southern Africa,South Africa,Kwame Mensah,Direct Sales,Completed
ORD-0153,2024-09-18,Mouse Pad XL,Office,24.37,6,20,116.98,North Africa,Morocco,Kwame Mensah,Retail,Completed
ORD-0154,2024-03-29,Laptop Stand,Office,39.53,2,0,79.06,West Africa,Ghana,Patrick Nkosi,Retail,Completed
ORD-0155,2024-12-14,Smart Watch,Electronics,207.37,10,20,1658.96,Southern Africa,Mozambique,Patrick Nkosi,Wholesale,Completed
ORD-0156,2024-05-20,Smart Watch,Electronics,208.93,8,5,1587.87,Southern Africa,South Africa,Patrick Nkosi,Online,Completed
ORD-0157,2024-07-07,Desk Lamp,Office,33.44,8,5,254.14,East Africa,Tanzania,Aisha Kamara,Online,Completed
ORD-0158,2024-01-22,Notebook Set,Stationery,15.55,7,5,103.41,Central Africa,Angola,Ibrahim Traore,Retail,Completed
ORD-0159,2024-06-24,Notebook Set,Stationery,15.25,3,0,45.75,Southern Africa,Botswana,Kwame Mensah,Retail,Completed
ORD-0160,2024-07-05,Phone Case,Accessories,20.82,9,10,168.64,Southern Africa,Mozambique,Samuel Mwangi,Wholesale,Returned
ORD-0161,2024-06-20,Mechanical Keyboard,Office,135.79,1,20,108.63,North Africa,Libya,Kwame Mensah,Wholesale,Completed
ORD-0162,2024-11-04,Desk Lamp,Office,37.71,5,15,160.27,Southern Africa,Zambia,Fatima Hassan,Wholesale,Completed
ORD-0163,2024-07-19,Notebook Set,Stationery,15.81,5,15,67.19,West Africa,Senegal,Fatima Hassan,Online,Completed
ORD-0164,2024-12-16,Desk Lamp,Office,36.93,3,15,94.17,Southern Africa,Zambia,Lilian Osei,Online,Returned
ORD-0165,2024-04-19,Desk Lamp,Office,34.19,6,0,205.14,North Africa,Egypt,Samuel Mwangi,Direct Sales,Completed
ORD-0166,2024-02-21,Phone Case,Accessories,21.52,2,0,43.04,West Africa,Ghana,Lilian Osei,Online,Completed
ORD-0167,2024-04-02,Cable Organizer,Accessories,17.51,10,5,166.35,Central Africa,Congo,Patrick Nkosi,Retail,Returned
ORD-0168,2024-08-17,Wireless Headphones,Electronics,93.73,4,5,356.17,Southern Africa,Zambia,David Okonkwo,Retail,Completed
ORD-0169,2024-08-13,Portable Charger,Electronics,49.13,6,15,250.56,Southern Africa,Zimbabwe,Ibrahim Traore,Wholesale,Returned
ORD-0170,2024-11-05,Desk Lamp,Office,34.29,3,20,82.3,Central Africa,Chad,Fatima Hassan,Wholesale,Completed
ORD-0171,2024-09-21,Pen Pack,Stationery,10.56,9,0,95.04,Southern Africa,Zambia,Kwame Mensah,Wholesale,Completed
ORD-0172,2024-08-11,Portable Charger,Electronics,43.73,8,10,314.86,West Africa,Senegal,Kwame Mensah,Retail,Returned
ORD-0173,2024-07-10,Cable Organizer,Accessories,18.16,7,0,127.12,North Africa,Egypt,David Okonkwo,Direct Sales,Completed
ORD-0174,2024-11-28,Laptop Stand,Office,43.02,6,0,258.12,West Africa,Nigeria,Samuel Mwangi,Retail,Completed
ORD-0175,2024-08-17,Wireless Headphones,Electronics,95.01,3,20,228.02,North Africa,Algeria,Patrick Nkosi,Online,Completed
ORD-0176,2024-11-07,Wireless Headphones,Electronics,98.18,3,10,265.09,North Africa,Morocco,Lilian Osei,Direct Sales,Completed
ORD-0177,2024-08-02,Portable Charger,Electronics,43.06,5,0,215.3,North Africa,Morocco,Patrick Nkosi,Direct Sales,Completed
ORD-0178,2024-10-21,Bluetooth Speaker,Electronics,62.68,9,0,564.12,Southern Africa,Botswana,David Okonkwo,Retail,Completed
ORD-0179,2024-04-05,Mechanical Keyboard,Office,134.62,6,0,807.72,East Africa,Ethiopia,Kwame Mensah,Wholesale,Completed
ORD-0180,2024-08-28,Desk Lamp,Office,33.35,9,10,270.14,Central Africa,Angola,Amara Diallo,Direct Sales,Completed
ORD-0181,2024-12-02,USB-C Hub,Electronics,49.3,2,0,98.6,East Africa,Tanzania,Kwame Mensah,Wholesale,Completed
ORD-0182,2024-12-16,Wireless Headphones,Electronics,94.17,6,20,452.02,North Africa,Libya,Ibrahim Traore,Direct Sales,Completed
ORD-0183,2024-01-23,Portable Charger,Electronics,44.72,8,0,357.76,West Africa,Nigeria,David Okonkwo,Online,Completed
ORD-0184,2024-05-09,Cable Organizer,Accessories,18.56,7,20,103.94,North Africa,Libya,Amara Diallo,Retail,Completed
ORD-0185,2024-08-11,Laptop Stand,Office,42.79,5,0,213.95,East Africa,Tanzania,Grace Nakato,Direct Sales,Returned
ORD-0186,2024-09-22,Laptop Stand,Office,43.53,8,0,348.24,West Africa,Ivory Coast,Aisha Kamara,Online,Returned
ORD-0187,2024-02-22,Bluetooth Speaker,Electronics,59.63,3,10,161.0,Southern Africa,Botswana,Kwame Mensah,Wholesale,Completed
ORD-0188,2024-06-28,USB-C Hub,Electronics,52.66,7,0,368.62,Southern Africa,Botswana,Ibrahim Traore,Online,Completed
ORD-0189,2024-07-26,Notebook Set,Stationery,15.75,1,0,15.75,Southern Africa,Zambia,Samuel Mwangi,Retail,Completed
ORD-0190,2024-11-26,Smart Watch,Electronics,192.01,1,0,192.01,Central Africa,Chad,Samuel Mwangi,Wholesale,Returned
ORD-0191,2024-07-08,Notebook Set,Stationery,15.25,3,15,38.89,East Africa,Ethiopia,Samuel Mwangi,Direct Sales,Completed
ORD-0192,2024-05-22,Notebook Set,Stationery,14.95,6,5,85.21,West Africa,Cameroon,David Okonkwo,Online,Completed
ORD-0193,2024-03-01,Mouse Pad XL,Office,27.16,9,5,232.22,West Africa,Ivory Coast,Aisha Kamara,Wholesale,Returned
ORD-0194,2024-02-07,Phone Case,Accessories,19.36,8,0,154.88,Central Africa,Gabon,Ibrahim Traore,Retail,Returned
ORD-0195,2024-06-02,Bluetooth Speaker,Electronics,61.87,2,10,111.37,North Africa,Tunisia,Fatima Hassan,Retail,Completed
ORD-0196,2024-09-09,Desk Lamp,Office,33.97,4,20,108.7,West Africa,Nigeria,Amara Diallo,Wholesale,Pending
ORD-0197,2024-02-14,Notebook Set,Stationery,15.62,9,0,140.58,North Africa,Algeria,Kwame Mensah,Wholesale,Returned
ORD-0198,2024-10-21,Mouse Pad XL,Office,25.28,7,20,141.57,Southern Africa,Botswana,Kwame Mensah,Retail,Completed
ORD-0199,2024-03-06,Pen Pack,Stationery,10.27,8,15,69.84,East Africa,Rwanda,Lilian Osei,Retail,Completed
ORD-0200,2024-03-25,Mechanical Keyboard,Office,126.47,2,10,227.65,Central Africa,DRC,Fatima Hassan,Wholesale,Completed
ORD-0201,2024-10-09,Laptop Stand,Office,39.17,2,0,78.34,Central Africa,Gabon,Aisha Kamara,Retail,Completed
ORD-0202,2024-10-24,Notebook Set,Stationery,14.62,9,15,111.84,Central Africa,DRC,Fatima Hassan,Retail,Pending
ORD-0203,2024-01-15,Mouse Pad XL,Office,26.83,10,0,268.3,Central Africa,Gabon,Kwame Mensah,Online,Pending
ORD-0204,2024-09-11,USB-C Hub,Electronics,52.28,7,10,329.36,West Africa,Cameroon,Lilian Osei,Wholesale,Completed
